path_id,model,rmse,mae,r2,mape,theil_u,beats_persistence
1,XGBoost,6.9293499421774705,5.729628413861816,-0.3759267099389334,13.37768279176017,4.30105475208403,False
1,RandomForest,5.392370687542839,4.34091358264429,0.16676061228298777,10.144674189256147,3.347050122188901,False
1,GradientBoosting,5.8269169127497165,4.757459652305687,0.027055732687299328,11.111394334350797,3.6167734183887323,False
1,Ridge,1.659997961390843,1.2733838107619448,0.9210366759765977,2.739630437059839,1.0303624697652813,False
1,SVR,9.176741343026961,7.760547287610458,-1.41316653597592,17.64092226748148,5.696012943700343,False
1,Persistence,1.6110815466415367,1.211443521877893,0.9256218521991312,2.638929561587724,1.0,False
1,Selected (best of 5),1.659997961390843,1.2733838107619448,0.9210366759765977,2.739630437059839,1.0303624697652813,False
2,XGBoost,4.039516230439474,3.235661424468757,0.5042959301911881,2.442454232945307,2.4842689447283512,False
2,RandomForest,3.372128104384469,2.668202465543471,0.6545605772949121,2.0143940628290116,2.073830788014095,False
2,GradientBoosting,3.5517010234433743,2.8509748160830912,0.6167902321397409,2.15232315196216,2.1842666423796864,False
2,Ridge,1.9875114732567754,1.6874191828738592,0.879999499216555,1.2965547535895734,1.2223030552759853,False
2,SVR,5.9523363801958435,4.341393065072659,-0.07631328815819138,3.2540322067566003,3.6606374561561172,False
2,Persistence,1.6260382109639844,1.389314110239513,0.9196797107506941,1.0730432935168757,1.0,False
2,Selected (best of 5),1.9875114732567754,1.6874191828738592,0.879999499216555,1.2965547535895734,1.2223030552759853,False
3,XGBoost,16.918876130634956,14.381013248483608,0.3714341053034539,8.135798740487175,1.641755206525218,False
3,RandomForest,13.088481413371902,10.848732924543143,0.6238281330014452,6.0715963333195875,1.2700655965559946,False
3,GradientBoosting,14.855146293949531,12.286541459788626,0.5154242712316328,6.968330532043264,1.4414972710643132,False
3,Ridge,10.345786161844329,8.732192035413362,0.7649637838770017,4.710561494461756,1.0039229654296802,False
3,SVR,18.71192357994819,15.895288308877786,0.2311446129456869,8.821026760440276,1.8157469635856371,False
3,Persistence,10.305358596330468,8.821187042521515,0.7667970668797928,4.714559976986983,1.0,False
3,Selected (best of 5),10.345786161844329,8.732192035413362,0.7649637838770017,4.710561494461756,1.0039229654296802,False
4,XGBoost,0.31200222345616346,0.2728989618616171,-0.7046719914913608,4.273525161210547,4.245511664514009,False
4,RandomForest,0.20077255271719222,0.17556149916217878,0.29411471391002797,2.749527473591764,2.7319748078489368,False
4,GradientBoosting,0.25674344266507376,0.22065470782626245,-0.15431454562563918,3.4634780758865666,3.4935881819932,False
4,Ridge,0.1288219068491341,0.1104352337024648,0.7093937874563859,1.7134815434640076,1.7529199058729716,False
4,SVR,0.3156969916194088,0.2622956038512475,-0.745284912453166,3.9421705125908764,4.2957875284516795,False
4,Persistence,0.07348989900652621,0.0620841377714536,0.9054240420992824,0.9555470817212255,1.0,False
